,Sample name,Protein concentration,Surfactant concentration,Temperature,Time (M),If 10mM L-Met,pH,RCE_LMW,RCE_Main,RCE_HMW,SEC_HMW,SEC_Monomer,SEC_LMW,delta_RCE_LMW,delta_SEC_HMW
0,MK-6070(1)-PS20(0.02) T0,1,0.02,,0,N,5.0,3.5,96.5,ND,1.9,97.4,0.6,0.0,0.0
1,MK-6070(1)-PS20(0.1) T0,1,0.1,,0,N,5.0,2.4000000000000057,97.6,ND,1.7,97.7,0.6,0.0,0.0
2,"MK-6070(1)-PS20(0.02), 10 mM L-Met T0",1,0.02,,0,Y,5.0,2.5999999999999943,97.4,ND,2.1,97.3,0.6,0.0,0.0
3,MK-6070(1)-PS20(0.05) T0,1,0.05,,0,N,5.0,2.5,97.5,ND,2.0,97.5,0.5,0.0,0.0
4,MK-6070(1)-PS20(0.02) 1M 25C,1,0.02,25.0,1,N,5.0,3.200000000000003,96.8,ND,1.8,97.2,1.0,-0.29999999999999716,-0.09999999999999987
5,MK-6070(1)-PS20(0.1) 1M 25C,1,0.1,25.0,1,N,5.0,4.099999999999994,95.9,ND,1.5,97.6,0.9,1.6999999999999886,-0.19999999999999996
6,"MK-6070(1)-PS20(0.02), 10 mM L-Met 1M 25C",1,0.02,25.0,1,Y,5.0,3.5999999999999943,96.4,ND,1.8,97.2,1.0,1.0,-0.30000000000000004
7,MK-6070(1)-PS20(0.05) 1M 25C,1,0.05,25.0,1,N,5.0,4.0,96.0,ND,1.9,97.2,0.9,1.5,-0.10000000000000009
8,MK-6070(1)-PS20(0.02) 1M 40C,1,0.02,40.0,1,N,5.0,9.400000000000006,90.6,ND,1.6,95.9,2.5,5.900000000000006,-0.2999999999999998
9,MK-6070(1)-PS20(0.1) 1M 40C,1,0.1,40.0,1,N,5.0,8.700000000000003,91.3,ND,1.4,96.1,2.5,6.299999999999997,-0.30000000000000004
10,"MK-6070(1)-PS20(0.02), 10 mM L-Met 1M 40C",1,0.02,40.0,1,Y,5.0,9.299999999999997,90.7,ND,1.6,95.9,2.5,6.700000000000003,-0.5
11,MK-6070(1)-PS20(0.05) 1M 40C,1,0.05,40.0,1,N,5.0,9.900000000000006,90.1,ND,1.7,95.8,2.6,7.400000000000006,-0.30000000000000004
12,MK-6070(1)-PS20(0.02) 2M 25C,1,0.02,25.0,2,N,5.0,3.9000000000000057,96.1,ND,2.0,96.8,1.2,0.4000000000000057,0.10000000000000009
13,MK-6070(1)-PS20(0.1) 2M 25C,1,0.1,25.0,2,N,5.0,4.099999999999994,95.9,ND,1.7,97.0,1.2,1.6999999999999886,0.0
14,"MK-6070(1)-PS20(0.02), 10 mM L-met 2M 25C",1,0.02,25.0,2,Y,5.0,3.799999999999997,96.2,ND,2.0,96.8,1.2,1.2000000000000028,-0.10000000000000009
15,MK-6070(1)-PS20(0.05) 2M 25C,1,0.05,25.0,2,N,5.0,4.299999999999997,95.7,ND,2.0,96.8,1.2,1.7999999999999972,0.0
16,MK-6070(1)-PS20(0.02) 2M 40C,1,0.02,40.0,2,N,5.0,13.099999999999994,86.9,ND,1.9,93.2,4.9,9.599999999999994,0.0
17,MK-6070(1)-PS20(0.1) 2M 40C,1,0.1,40.0,2,N,5.0,12.599999999999994,87.4,ND,1.9,93.4,4.7,10.199999999999989,0.19999999999999996
18,"MK-6070(1)-PS20(0.02), 10 mM L-met 2M 40C",1,0.02,40.0,2,Y,5.0,11.700000000000003,88.3,ND,1.9,93.2,4.9,9.100000000000009,-0.20000000000000018
19,MK-6070(1)-PS20(0.05) 2M 40C,1,0.05,40.0,2,N,5.0,13.099999999999994,86.9,ND,2.0,93.2,4.9,10.599999999999994,0.0
20,"1, PS-20, 0.02, 3M 5C",1,0.02,5.0,3,N,5.0,3.9,96.1,ND,1.7,96.8,1.5,0.3999999999999999,-0.19999999999999996
21,"1,PS-20, 0.1, 3M 5C",1,0.1,5.0,3,N,5.0,3.7,96.3,ND,1.5,97.1,1.5,1.2999999999999945,-0.19999999999999996
22,"1, PS-20, 0.02, 10mM L-Met, 3M 5C",1,0.02,5.0,3,Y,5.0,3.7,95.9,ND,1.8,96.8,1.4,1.1000000000000059,-0.30000000000000004
23,"1, PS-20, 0.05, 3M 5C",1,0.05,5.0,3,N,5.0,4.3,95.7,ND,1.8,96.9,1.3,1.7999999999999998,-0.19999999999999996
24,"1, PS-20, 0.02, 3M 25C",1,0.02,25.0,3,N,5.0,6.2,93.8,ND,1.8,95.9,2.4,2.7,-0.09999999999999987
25,"1,PS-20, 0.1, 3M 25C",1,0.1,25.0,3,N,5.0,6.0,94.0,ND,1.6,96.2,2.3,3.5999999999999943,-0.09999999999999987
26,"1, PS-20, 0.02, 10mM L-Met, 3M 25C",1,0.02,25.0,3,Y,5.0,5.0,95.0,ND,1.8,96.0,2.3,2.4000000000000057,-0.30000000000000004
27,"1, PS-20, 0.05, 3M 25C",1,0.05,25.0,3,N,5.0,6.3,93.7,ND,1.8,95.9,2.3,3.8,-0.19999999999999996
28,"1, PS-20, 0.02, 3M 40C",1,0.02,40.0,3,N,5.0,18.0,82.0,ND,1.6,90.9,7.4,14.5,-0.2999999999999998
29,"1,PS-20, 0.1, 3M 40C",1,0.1,40.0,3,N,5.0,18.0,82.0,ND,2.0,90.7,7.3,15.599999999999994,0.30000000000000004
30,"1, PS-20, 0.02, 10mM L-Met, 3M 40C",1,0.02,40.0,3,Y,5.0,18.7,81.3,ND,2.3,90.5,7.2,16.100000000000005,0.19999999999999973
31,"1, PS-20, 0.05, 3M 40C",1,0.05,40.0,3,N,5.0,18.5,81.5,ND,1.7,91.0,7.3,16.0,-0.30000000000000004
32,MK-6070(6)-PS20(0.02) T0,6,0.02,,0,N,5.0,4.0,96.0,ND,1.5,97.8,0.6,0.0,0.0
33,MK-6070(6)-PS20(0.1) T0,6,0.1,,0,N,5.0,2.5999999999999943,97.4,ND,1.4,97.9,0.7,0.0,0.0
34,"MK-6070(6)-PS20(0.02), 10 mM L-Met T0",6,0.02,,0,Y,5.0,2.700000000000003,97.3,ND,1.6,97.7,0.7,0.0,0.0
35,"MK-6070(6)-PS20(0.02), pH 4.5 T0",6,0.02,,0,N,4.5,2.5,97.5,ND,1.4,98.0,0.6,0.0,0.0
36,"MK-6070(6)-PS20(0.02), pH 5.5 T0",6,0.02,,0,N,5.5,2.5,97.5,ND,1.7,97.7,0.6,0.0,0.0
37,MK-6070(6)-PS20(0.05) T0,6,0.05,,0,N,5.0,2.700000000000003,97.3,ND,1.5,97.9,0.6,0.0,0.0
38,MK-6070(6)-PS20(0.02) 1M 25C,6,0.02,25.0,1,N,5.0,3.700000000000003,96.3,ND,1.3,97.8,0.8,-0.29999999999999716,-0.19999999999999996
39,MK-6070(6)-PS20(0.1) 1M 25C,6,0.1,25.0,1,N,5.0,3.0999999999999943,96.9,ND,1.3,97.8,0.9,0.5,-0.09999999999999987
40,"MK-6070(6)-PS20(0.02), 10 mM L-Met 1M 25C",6,0.02,25.0,1,Y,5.0,3.799999999999997,96.2,ND,1.3,97.7,1.0,1.0999999999999943,-0.30000000000000004
41,"MK-6070(6)-PS20(0.02), pH 4.5 1M 25C",6,0.02,25.0,1,N,4.5,3.299999999999997,96.7,ND,1.1,97.8,1.1,0.7999999999999972,-0.2999999999999998
42,"MK-6070(6)-PS20(0.02), pH 5.5 1M 25C",6,0.02,25.0,1,N,5.5,5.400000000000006,94.6,ND,1.7,97.5,0.8,2.9000000000000057,0.0
43,MK-6070(6)-PS20(0.05) 1M 25C,6,0.05,25.0,1,N,5.0,3.200000000000003,96.8,ND,1.4,97.7,0.9,0.5,-0.10000000000000009
44,MK-6070(6)-PS20(0.02) 1M 40C,6,0.02,40.0,1,N,5.0,11.700000000000003,88.3,ND,1.1,95.6,3.3,7.700000000000003,-0.3999999999999999
45,MK-6070(6)-PS20(0.1) 1M 40C,6,0.1,40.0,1,N,5.0,12.700000000000003,87.3,ND,1.0,95.6,3.4,10.100000000000009,-0.3999999999999999
46,"MK-6070(6)-PS20(0.02), 10 mM L-Met 1M 40C",6,0.02,40.0,1,Y,5.0,13.200000000000003,86.8,ND,1.1,95.7,3.3,10.5,-0.5
47,"MK-6070(6)-PS20(0.02), pH 4.5 1M 40C",6,0.02,40.0,1,N,4.5,10.299999999999997,89.7,ND,0.8,95.8,3.4,7.799999999999997,-0.5999999999999999
48,"MK-6070(6)-PS20(0.02), pH 5.5 1M 40C",6,0.02,40.0,1,N,5.5,11.0,89.0,ND,1.7,95.9,2.4,8.5,0.0
49,MK-6070(6)-PS20(0.05) 1M 40C,6,0.05,40.0,1,N,5.0,13.5,86.5,ND,1.1,95.6,3.3,10.799999999999997,-0.3999999999999999
50,MK-6070(6)-PS20(0.02) 2M 25C,6,0.02,25.0,2,N,5.0,6.1,93.9,ND,1.5,97.1,1.4,2.0999999999999996,0.0
51,MK-6070(6)-PS20(0.1) 2M 25C,6,0.1,25.0,2,N,5.0,3.9000000000000057,96.1,ND,1.5,97.1,1.4,1.3000000000000114,0.10000000000000009
52,"MK-6070(6)-PS20(0.02), 10 mM L-met 2M 25C",6,0.02,25.0,2,Y,5.0,4.200000000000003,95.8,ND,1.5,97.2,1.4,1.5,-0.10000000000000009
53,"MK-6070(6)-PS20(0.02) pH 4.5, 2M 25C",6,0.02,25.0,2,N,4.5,4.400000000000006,95.6,ND,1.2,97.2,1.6,1.9000000000000057,-0.19999999999999996
54,"MK-6070(6)-PS20(0.02) pH 5.5, 2M 25C",6,0.02,25.0,2,N,5.5,4.099999999999994,95.9,ND,2.0,96.7,1.3,1.5999999999999943,0.30000000000000004
55,MK-6070(6)-PS20(0.05) 2M 25C,6,0.05,25.0,2,N,5.0,3.9000000000000057,96.1,ND,1.5,97.2,1.4,1.2000000000000028,0.0
56,MK-6070(6)-PS20(0.02) 2M 40C,6,0.02,40.0,2,N,5.0,19.599999999999994,80.4,ND,1.9,89.9,8.2,15.599999999999994,0.3999999999999999
57,MK-6070(6)-PS20(0.1) 2M 40C,6,0.1,40.0,2,N,5.0,19.900000000000006,80.1,ND,2.5,89.4,8.1,17.30000000000001,1.1
58,"MK-6070(6)-PS20(0.02), 10 mM L-met 2M 40C",6,0.02,40.0,2,Y,5.0,19.099999999999994,80.9,ND,2.3,89.6,8.1,16.39999999999999,0.6999999999999997
59,"MK-6070(6)-PS20(0.02) pH 4.5, 2M 40C",6,0.02,40.0,2,N,4.5,16.400000000000006,83.6,ND,0.9,91.1,8.0,13.900000000000006,-0.4999999999999999
60,"MK-6070(6)-PS20(0.02) pH 5.5, 2M 40C",6,0.02,40.0,2,N,5.5,13.400000000000006,86.6,ND,3.3,92.5,4.2,10.900000000000006,1.5999999999999999
61,MK-6070(6)-PS20(0.05) 2M 40C,6,0.05,40.0,2,N,5.0,19.0,81.0,ND,2.9,89.1,8.0,16.299999999999997,1.4
62,"6, PS-20, 0.02, 3M 5C",6,0.02,5.0,3,N,5.0,4.2,95.8,ND,1.3,97.2,1.6,0.20000000000000018,-0.19999999999999996
63,"6,PS-20, 0.1, 3M 5C",6,0.1,5.0,3,N,5.0,3.5,96.5,ND,1.2,97.2,1.5,0.9000000000000057,-0.19999999999999996
64,"6, PS-20, 0.02, 10mM L-Met, 3M 5C",6,0.02,5.0,3,Y,5.0,3.5,96.5,ND,1.2,97.2,1.5,0.7999999999999972,-0.40000000000000013
65,"6, PS-20, 0.02, pH 4.5, 3M 5C",6,0.02,5.0,3,N,4.5,4.2,95.7,0.2,1.0,97.3,1.7,1.7000000000000002,-0.3999999999999999
66,"6, PS-20, 0.02, pH 5.5, 3M 5C",6,0.02,5.0,3,N,5.5,4.3,95.7,ND,1.6,96.9,1.5,1.7999999999999998,-0.09999999999999987
67,"6, PS-20, 0.05, 3M 5C",6,0.05,5.0,3,N,5.0,3.7,96.3,ND,1.2,97.4,1.4,0.9999999999999973,-0.30000000000000004
68,"6, PS-20, 0.02, 3M 25C",6,0.02,25.0,3,N,5.0,5.6,94.4,ND,1.3,96.3,2.4,1.5999999999999996,-0.19999999999999996
69,"6,PS-20, 0.1, 3M 25C",6,0.1,25.0,3,N,5.0,6.1,93.9,ND,1.2,96.3,2.5,3.5000000000000053,-0.19999999999999996
70,"6, PS-20, 0.02, 10mM L-Met, 3M 25C",6,0.02,25.0,3,Y,5.0,6.2,93.8,ND,1.3,96.3,2.4,3.4999999999999973,-0.30000000000000004
71,"6, PS-20, 0.02, pH 4.5, 3M 25C",6,0.02,25.0,3,N,4.5,6.8,93.3,ND,1.0,96.2,2.8,4.3,-0.3999999999999999
72,"6, PS-20, 0.02, pH 5.5, 3M 25C",6,0.02,25.0,3,N,5.5,7.8,92.2,ND,1.7,96.1,2.2,5.3,0.0
73,"6, PS-20, 0.05, 3M 25C",6,0.05,25.0,3,N,5.0,6.6,93.4,ND,2.6,95.0,2.4,3.899999999999997,1.1
74,"6, PS-20, 0.02, 3M 40C",6,0.02,40.0,3,N,5.0,26.4,73.6,ND,3.3,86.3,10.4,22.4,1.7999999999999998
75,"6,PS-20, 0.1, 3M 40C",6,0.1,40.0,3,N,5.0,25.8,74.2,ND,5.2,84.5,10.3,23.200000000000006,3.8000000000000003
76,"6, PS-20, 0.02, 10mM L-Met, 3M 40C",6,0.02,40.0,3,Y,5.0,27.4,72.6,ND,3.4,86.5,10.1,24.699999999999996,1.7999999999999998
77,"6, PS-20, 0.02, pH 4.5, 3M 40C",6,0.02,40.0,3,N,4.5,24.3,75.4,0.3,1.3,89.0,9.8,21.8,-0.09999999999999987
78,"6, PS-20, 0.02, pH 5.5, 3M 40C",6,0.02,40.0,3,N,5.5,23.9,74.2,1.9,4.3,90.2,5.5,21.4,2.5999999999999996
79,"6, PS-20, 0.05, 3M 40C",6,0.05,40.0,3,N,5.0,26.8,73.2,ND,3.6,86.0,10.4,24.099999999999998,2.1
80,LPF1 MK6070(4)-PS20(0.02) T0,4,0.02,,0,N,5.0,3.2,96.8,ND,1.3,96.5,2.2,0.0,0.0
81,LPF1 MK6070(4)-PS20(0.01) T0,4,0.1,,0,N,5.0,3.8,96.2,ND,1.2,96.7,2.1,0.0,0.0
82,LPF1 MK6070(4)-PS20(0.02) 5C 1M,4,0.02,5.0,1,N,5.0,4.1,95.9,ND,1.2,96.9,1.8,0.8999999999999995,-0.10000000000000009
83,LPF1 MK6070(4)-PS20(0.01) 5C 1M,4,0.1,5.0,1,N,5.0,3.1,96.9,ND,1.2,96.8,2.0,-0.6999999999999997,0.0
84,LPF1 MK6070(4)-PS20(0.02) 5C 2M,4,0.02,5.0,2,N,5.0,3.0,97.0,ND,1.2,96.8,2.0,-0.20000000000000018,-0.10000000000000009
85,LPF1 MK6070(4)-PS20(0.01) 5C 2M,4,0.1,5.0,2,N,5.0,3.1,96.9,ND,1.2,97.0,1.8,-0.6999999999999997,0.0
86,LPF1 MK6070(4)-PS20(0.02) 25C 1M,4,0.02,25.0,1,N,5.0,3.8,96.2,ND,1.3,96.5,2.2,0.5999999999999996,0.0
87,LPF1 MK6070(4)-PS20(0.01) 25C 1M,4,0.1,25.0,1,N,5.0,3.9,96.1,ND,1.2,96.5,2.2,0.10000000000000009,0.0
88,LPF1 MK6070(4)-PS20(0.02) 25C 2M,4,0.02,25.0,2,N,5.0,4.9,95.1,ND,1.3,96.0,2.7,1.7000000000000002,0.0
89,LPF1 MK6070(4)-PS20(0.01) 25C 2M,4,0.1,25.0,2,N,5.0,4.9,95.1,ND,1.3,96.1,2.6,1.1000000000000005,0.10000000000000009
90,LPF1 MK6070(4)-PS20(0.02) 40C 1M,4,0.02,40.0,1,N,5.0,12.7,87.3,ND,1.0,93.9,5.1,9.5,-0.30000000000000004
91,LPF1 MK6070(4)-PS20(0.01) 40C 1M,4,0.1,40.0,1,N,5.0,12.2,87.8,ND,1.2,93.6,5.2,8.399999999999999,0.0
92,LPF1 MK6070(4)-PS20(0.02) 40C 2M,4,0.02,40.0,2,N,5.0,18.5,81.5,ND,1.3,90.3,8.4,15.3,0.0
93,LPF1 MK6070(4)-PS20(0.01) 40C 2M,4,0.1,40.0,2,N,5.0,18.3,81.7,ND,2.0,89.6,8.4,14.5,0.8
94,"4, PS-20, 0.02, 3M 5C",4,0.02,5.0,3,N,5.0,4.0,96.0,ND,1.3,97.4,1.3,0.7999999999999998,0.0
95,"4,PS-20, 0.1, 3M 5C",4,0.1,5.0,3,N,5.0,4.2,95.8,ND,1.2,97.4,1.4,0.40000000000000036,0.0
96,"4, PS-20, 0.02, 3M 25C",4,0.02,25.0,3,N,5.0,6.5,93.5,ND,1.3,96.3,2.4,3.3,0.0
97,"4,PS-20, 0.1, 3M 25C",4,0.1,25.0,3,N,5.0,6.2,93.8,ND,1.2,96.4,2.4,2.4000000000000004,0.0
98,"4, PS-20, 0.02, 3M 40C",4,0.02,40.0,3,N,5.0,22.8,77.2,ND,1.7,88.9,9.5,19.6,0.3999999999999999
99,"4,PS-20, 0.1, 3M 40C",4,0.1,40.0,3,N,5.0,22.7,77.3,ND,3.2,87.4,9.4,18.9,2.0
