pH,Buffer_Type_Ace,Buffer_Type_Cit,Buffer_Type_His,Buffer_Type_Phos,Sugar_Salt_0_1M_NaCl,Sugar_Salt_4_Sorbitol,Additive_Arginine,Additive_Glycine
4.5,1,0,0,0,0,1,1,0
4.5,1,0,0,0,0,1,0,1
5,1,0,0,0,0,1,1,0
5,1,0,0,0,0,1,0,1
5,1,0,0,0,1,0,0,1
5.5,1,0,0,0,0,1,0,1
5.5,0,0,1,0,0,1,1,0
6,0,0,1,0,0,1,1,0
6,0,0,1,0,0,1,0,1
6,0,0,1,0,1,0,0,1
6.5,0,0,1,0,0,1,1,0
6.5,0,0,1,0,0,1,0,1
5,0,1,0,0,0,1,1,0
5,0,1,0,0,1,0,0,1
6,0,1,0,0,0,1,0,1
6.5,0,1,0,0,0,1,1,0
6.5,0,1,0,0,0,1,0,1
7,0,1,0,0,1,0,0,1
7,0,1,0,0,0,1,0,1
7,0,1,0,0,0,1,1,0
6.5,0,0,0,1,0,1,1,0
6.5,0,0,0,1,0,1,0,1
7,0,0,0,1,0,1,1,0
7,0,0,0,1,0,1,0,1