,%Dimer (HMW),,,%Monomer,,,%LMW,,,
,T0,FT,40°C,T0,FT,40°C,T0,FT,40°C,
1,2.4,1.6,1.8,95.1,96.2,93.8,2.5,2.2,4.4,
2,0.8,1.1,0.7,97.3,96.6,95.1,2.0,2.2,4.2,
3,3.2,2.0,2.7,94.3,95.6,93.4,2.6,2.4,3.9,
4,1.4,1.4,1.3,96.7,96.4,95.0,1.9,2.3,3.6,
5,4.2,2.3,3.4,93.3,95.2,92.7,2.5,2.4,4.0,
6,1.8,1.3,1.9,96.3,96.4,94.5,2.0,2.3,3.6,
7,3.6,2.2,3.1,94.0,95.5,93.8,2.4,2.3,3.1,
8,3.7,2.1,3.4,94.3,95.6,93.0,1.9,2.4,3.5,
9,2.1,1.3,2.2,95.5,96.4,94.2,2.4,2.3,3.6,
10,4.3,2.1,4.9,93.1,95.5,89.6,2.6,2.4,5.5,
11,4.4,2.1,4.3,93.3,95.8,92.1,2.4,2.1,3.6,
12,1.9,1.2,2.8,96.1,96.8,93.3,2.0,2.0,3.9,
13,2.9,1.5,2.5,95.1,96.3,93.6,2.0,2.2,4.0,
14,3.5,1.8,3.4,94.5,95.9,92.4,2.0,2.3,4.2,
15,3.2,1.9,3.0,94.8,96.0,93.4,2.0,2.1,3.6,
16,3.2,1.7,3.1,94.8,96.0,93.0,1.9,2.2,3.9,
17,3.3,1.9,3.3,94.7,95.8,92.9,2.0,2.3,3.9,
18,3.7,1.9,4.0,94.3,95.9,91.5,2.0,2.2,4.5,
19,3.3,1.8,3.6,94.7,95.9,91.8,2.0,2.3,4.6,
20,3.3,1.7,3.3,94.4,96.2,92.3,2.4,2.1,4.4,
21,3.4,1.8,3.7,94.1,96.0,92.3,2.5,2.2,4.0,
22,3.0,1.9,3.6,94.4,95.7,92.2,2.5,2.5,4.2,
23,3.4,1.8,4.2,94.1,95.9,90.8,2.5,2.3,5.0,
24,3.3,1.9,4.4,94.6,95.9,90.3,2.2,2.2,5.3,