_Dimer_HMW__1,_Dimer_HMW__2,_Dimer_HMW__3,_Monomer_1,_Monomer_2,_Monomer_3
2.4,1.6,1.8,95.1,96.2,93.8
0.8,1.1,0.7,97.3,96.6,95.1
3.2,2,2.7,94.3,95.6,93.4
1.4,1.4,1.3,96.7,96.4,95
4.2,2.3,3.4,93.3,95.2,92.7
1.8,1.3,1.9,96.3,96.4,94.5
3.6,2.2,3.1,94,95.5,93.8
3.7,2.1,3.4,94.3,95.6,93
2.1,1.3,2.2,95.5,96.4,94.2
4.3,2.1,4.9,93.1,95.5,89.6
4.4,2.1,4.3,93.3,95.8,92.1
1.9,1.2,2.8,96.1,96.8,93.3
2.9,1.5,2.5,95.1,96.3,93.6
3.5,1.8,3.4,94.5,95.9,92.4
3.2,1.9,3,94.8,96,93.4
3.2,1.7,3.1,94.8,96,93
3.3,1.9,3.3,94.7,95.8,92.9
3.7,1.9,4,94.3,95.9,91.5
3.3,1.8,3.6,94.7,95.9,91.8
3.3,1.7,3.3,94.4,96.2,92.3
3.4,1.8,3.7,94.1,96,92.3
3,1.9,3.6,94.4,95.7,92.2
3.4,1.8,4.2,94.1,95.9,90.8
3.3,1.9,4.4,94.6,95.9,90.3